Mekan_Adi,Enlem,Boylam,Kategori
İBB Çubuklu Silolar Kütüphanesi,41.1082453,29.0835867,Turistik Yer
İBB Bulgur Palas Kütüphanesi,41.0069951,28.9440457,Turistik Yer
Rami Kütüphanesi Kasr-ı Hümayun Çeşmeleri,41.0484792,28.9165314,Turistik Yer
Türkiye İş Bankası Resim Heykel Müzesi,41.0315115,28.9759016,Turistik Yer
Caffè Nero,41.0434829,29.0050623,Turistik Yer
Arkadyos Sütunu,41.0077359,28.9430614,Turistik Yer
İstanbul Robot Müzesi,40.9825453,28.7285492,Turistik Yer
Düştepe Oyun Müzesi,40.9936089,29.1124414,Turistik Yer
Uçak,41.0108445,28.5989483,Turistik Yer
Eski Hamam,41.0220856,28.5800394,Turistik Yer
Ulusal Bağımsızlık ve Kuruluş Müzesi,41.0179076,28.5827468,Turistik Yer
Atatürk Devrimleri Müzesi,41.0181895,28.5826466,Turistik Yer
Tarihi Kalıntı,40.8177712,29.3014188,Turistik Yer
Değirmenaltı Kilisesi,40.8205445,29.3232055,Turistik Yer
Padişah Mahfili - Yeni Cami,41.0168929,28.9727768,Turistik Yer
Museum of Turkish & Islamic Arts,41.0343138,29.0708259,Turistik Yer
Hoca Ahmet Tûrânî Kabri,41.0396879,29.0005098,Turistik Yer
Dolmabahçe Sarayı Deniz Kapısı,41.0387281,29.000731,Turistik Yer
Tarihi Kemer Kalıntısı,41.021825,28.952164,Turistik Yer
Gezi Parkı olaylarının gerçekleştiği yer,41.0372496,28.9862711,Turistik Yer
250. Yıl Anıtı,41.1029173,29.0233877,Turistik Yer
Hayalet Bisiklet Anıtı,40.952493,29.0940921,Turistik Yer
Nimelceyş Kabiri,41.0049688,28.9818618,Turistik Yer
Hasan Baba Kabri,41.0044472,28.9815974,Turistik Yer
Bizans Lahdi,41.0043528,28.9812179,Turistik Yer
Hasbahçe Kapısı,41.0145504,28.9866043,Turistik Yer
IV. Mehmet Türbesi,41.0160855,28.9717905,Turistik Yer
Sultan Abdulaziz Han kabri,41.008552,28.9725794,Turistik Yer
V. Murat Türbesi,41.0161468,28.9717123,Turistik Yer
II. Abdülhamid Türbesi,41.0086349,28.972596,Turistik Yer
İstanbul'un Fethi,41.0216527,28.9263123,Turistik Yer
Konstantinopolis Kuşatması (717-718),41.025776,28.9741304,Turistik Yer
Konstantinopolis'in Yağmalanması,41.0385746,28.9405573,Turistik Yer
Mahmut Bey Çeşmesi,40.9696434,29.109356,Turistik Yer
15 Temmuz Darbe Girişiminin başlangıç ​​noktası,41.0510031,29.0282822,Turistik Yer
Validebağ Su Terazisi,41.0170792,29.0436556,Turistik Yer
Salih Çavuş Konutu,41.1125794,29.0899346,Turistik Yer
Lausos Sarayı'nın Kalıntıları,41.007586,28.9755539,Turistik Yer
Polonezköy Ağaç Oyma Heykel Sergisi,41.1098409,29.2111389,Turistik Yer
Fulham Park Cistern,41.0137644,28.9817985,Turistik Yer
Tarihi Hasanderesi Köprüsü,41.0620171,28.7567958,Turistik Yer
Atatürk ve İnönü Heykeli,40.979182,29.0562094,Turistik Yer
Abu Ayb Al Ansari,41.0482228,28.9335266,Turistik Yer
Muhammad Harrani,41.0499278,28.933676,Turistik Yer
Muhammad Al Fatih,41.0192911,28.9502782,Turistik Yer
Muhammad Uthman Sirajuddin Nakshbandi,41.0648204,28.6189573,Turistik Yer
Muhammad Amin Tokadi,41.0200281,28.9581164,Turistik Yer
Abul Vefa,41.0168197,28.9594706,Turistik Yer
Sırrı Süreyya Önder,41.0747102,29.0135605,Turistik Yer
Gülhane Parkı Sarnıcı,41.0138793,28.9817057,Turistik Yer
Altın Tepe Tümülüsü,41.0955836,28.1139305,Turistik Yer
ev2,41.0602107,28.382913,Turistik Yer
Zamba Oyuncak Müzesi,41.0459991,29.2684019,Turistik Yer
Yolçatı Höyüğü,41.1335548,28.1288516,Turistik Yer
Tümülüs,41.110842,28.1126176,Turistik Yer
Çeltik Höyüğü,41.1072518,28.1286626,Turistik Yer
Karaburun Günbatımı Terası,41.3461912,28.6820028,Turistik Yer
Yusuf Aşkin sok.,41.0034842,28.970825,Turistik Yer
Atatürk Havalimanı,41.0602751,28.9487438,Turistik Yer
TBMM,41.0594071,28.9490986,Turistik Yer
Anıtkabir,41.0595414,28.9491213,Turistik Yer
Aspendos,41.0593243,28.9486774,Turistik Yer
ALTINBOYNUZ SOSYAL TESİSİ,41.0578458,28.9456101,İBB Sosyal Tesis
ARNAVUTKÖY SOSYAL TESİSİ,41.067491,29.0448903,İBB Sosyal Tesis
AVCILAR SOSYAL TESİSİ,40.976648,28.743912,İBB Sosyal Tesis
BEYKOZ KORU SOSYAL TESİSİ,41.1316936,29.0942223,İBB Sosyal Tesis
BEYKOZ SAHİL SOSYAL TESİSİ,41.1134095,29.0864284,İBB Sosyal Tesis
BOĞAZKÖY SOSYAL TESİSİ,41.185797,28.765582,İBB Sosyal Tesis
ÇAMLICA SOSYAL TESİSİ,41.027788,29.069052,İBB Sosyal Tesis
CİHANGİR SOSYAL TESİSİ,41.0284966,28.9825361,İBB Sosyal Tesis
DRAGOS SOSYAL TESİSİ,40.9013477,29.1466597,İBB Sosyal Tesis
FETHİPAŞA SOSYAL TESİSİ,41.0333739,29.0259101,İBB Sosyal Tesis
FLORYA SOSYAL TESİSİ,40.960613,28.807588,İBB Sosyal Tesis
GAZİ SOSYAL TESİSİ,41.101274,28.916913,İBB Sosyal Tesis
GÖZDAĞI SOSYAL TESİSİ,40.8906409,29.2536092,İBB Sosyal Tesis
HALİÇ SOSYAL TESİSİ,41.028283,28.957092,İBB Sosyal Tesis
